,English,Spanish
10333,hes town,Está fuera de la ciudad.
10334,hes thirty,Él tiene más de treinta.
10335,hes stark naked,Está totalmente desnudo.
10336,hes still young,Todavía es joven.
10337,hes unconscious,Está inconsciente.
10338,hes lonely,Él es muy solitario.
10339,hes stingy,Él es muy tacaño.
10340,hes stingy,Él es muy canuto.
10341,hes watch me,Me está observando.
10342,hes father,Él es tu padre.
10343,hes father,Él es su padre.
10344,hes friend,Él es tu amigo.
10345,health wealth,La salud es riqueza.
10346,help here,Que alguien me eche una mano aquí.
10347,help stand up,Ayúdame a ponerme de pie.
10348,help stand up,Ayúdame a levantarme.
10349,help stand up,Ayúdeme a levantarme.
10350,bike blue,Su bici es azul.
10351,hair long,Ella tiene el pelo largo.
10352,name mary,Su nombre es Mary.
10353,album,Aquí está mi álbum.
10358,heres number,Aquí tienes mi número.
10359,here drink this,"Toma, bébete esto."
10360,here drink this,"Tome, beba esto."
10361,here drink this,"Tomad, bebeos esto."
10362,here use key,"Toma, usa mi llave."
10363,hey wait me,"Hey, espera por mí."
10364,hey wheres tom,"¡Eh!, ¿dónde está Tom?"
10365,hi im new here,¡Hola! Soy nuevo aquí.
10366,eye red,Tiene los ojos rojos.
10367,wife mad,Su esposa estaba furiosa.
10368,hold minute,Espera un minuto.
10369,hold second,Espera un minuto.
10370,hold second,Aguantá un segundo.
10371,hold breath,Contén tu respiración.
10372,hold horse,Un momentito.
10373,horse eat grass,Los caballos comen hierba.
10375,you tom,"¿Cómo estás, Tom?"
10376,you tom,"¿Cómo te va, Tom?"
10377,could know,¿Cómo podía saberlo?
10378,tom look,¿Qué aspecto tenía Tom?
10379,tom look,¿Cómo se veía Tom?
10381,plead,¿Cómo se declara?
10382,embarrass,¡Qué vergüenza!
10383,large it,¿Qué tan grande era?
10384,lucky be,¡Qué afortunados somos!
10385,melodramatic,¡Qué melodramático!
10386,much this,¿Cuánto es esto?
10387,tall you,¿Cuánto mides?
10388,tall be,¡Qué alto eres!
10389,tall be,¡Qué alto que sos!
10390,tall be,!Qué alto que eres!
10391,tall be,¡Qué altos que son!
10392,tall be,¡Qué altos que están!
10393,unlucky be,¡Qué mala suerte tengo!
10394,unlucky be,¡Qué gafe soy!
10395,unlucky be,¡Qué desafortunado soy!
10397,would know,¿Cómo lo iba a saber?
10398,would know,¿Cómo iba a saberlo?
10399,would know,¿Cómo iba yo a saberlo?
10401,howre do,¿Qué tal te va?
10402,howre do,¿Cómo lo llevas?
10403,hurry up please,"Por favor, date prisa."
10404,abhor violence,Aborrezco la violencia.
10405,agree him,Estoy de acuerdo con él.
10406,agree you,Estoy de acuerdo con usted.
10407,almost drown,Casi me ahogué.
10408,already it,Ya lo hice.
10409,already saw it,Ya lo vi.
10410,also like cake,A mi también me gustan los pasteles.
10411,always eat out,Siempre como afuera.
10412,bite drink,Estoy un poco bebido.
10413,bite drink,Estoy un poquito borracho.
10414,bite drink,Estoy un poco borracho.
10415,foreigner,Soy un extranjero.
10416,masochist,Soy un masoquista.
10417,policeman,Yo soy policía.
10418,professor,Yo soy profesor.
10420,american,Soy estadounidense.
10421,cook now,Ahora estoy cocinando.
10422,cook now,En este momento estoy cocinando.
10423,dumbfound,Yo estoy estupefacto.
10424,embarrass,Estoy avergonzado.
10425,brazil,Soy de Brasil.
10426,france,Vengo de Francia.
10427,france,Soy de Francia.
10428,norway,Yo soy de Noruega.
10429,russia,Vengo de Rusia.
10430,fry fish,Estoy friendo pescado.
10431,witch,No soy una bruja.
10433,duty now,Estoy de guardia ahora.
10434,duty now,Ahora estoy de servicio.
10438,pretty sure,Estoy relativamente seguro.
10439,pretty sure,Estoy muy seguro.
10440,still alone,Todavía estoy sola.
10441,hungry,Estoy muy hambriento.
10442,father,Soy tu padre.
10443,father,Yo soy tu padre.
10444,appreciate you,Te tengo cariño.
10445,ask food,Pedí comida.
10446,eat bus,Comí en el autobús.
10447,eat cheese,Me comí el queso.
10448,become woman,Me he convertido en mujer.
10449,begin sweat,Empecé a sudar.
10450,believe god,Yo creo en Dios.
10451,believe you,Creo en ti.
10452,buy house,Compré una casa.
10453,buy watch,He comprado un reloj.
10454,buy watch,Compré un reloj.
10455,buy car,Compré el auto.
10456,buy car,Yo compré el auto.
10457,bow politely,Hice una amable inclinación.
10458,bow politely,Me incliné educadamente.
10459,bake bread,Sé hornear pan.
10460,hardly see,Apenas puedo ver.
10461,read mind,Yo puedo leer mentes.
10462,cant budge it,No puedo moverlo un ápice.
10463,cant come now,Ahora no puedo ir.
10464,cant come now,Ahora mismo no puedo ir allí.
10465,cant come now,En este momento no puedo ir.
10466,cant complain,No puedo quejarme.
10467,cant complain,No me puedo quejar.
10468,cant die here,No puedo morir aquí.
10469,cant eat meat,No puedo comer carne.
10470,cant hate you,No puedo odiarte.
10471,cant hear you,No puedo oírte.
10472,cant hear you,No puedo oíros.
10473,cant hear you,No puedo oírles.
10474,cant hear you,No puedo oírle.
10475,cant help you,No puedo ayudaros.
10476,cant reach it,No lo puedo alcanzar.
10477,cant remember,No me acuerdo.
10478,cant see well,No veo bien.
10479,cant show you,No puedo mostrarte.
10480,cant stand it,No lo aguanto.
10481,cant stand it,No lo soporto.
10482,cant stand up,No puedo levantarme.
10483,cant stop her,No puedo pararla.
10484,cant stop her,No puedo detenerla.
10485,cant stop him,No puedo pararle.
10486,cant stop you,No te puedo parar.
10487,cant talk now,Ahora no puedo hablar.
10488,cant talk now,No puedo hablar ahora.
10489,catch flu,Me agarré una gripe.
10490,catch flu,Me engripé.
10491,could wrong,Yo podría estar equivocado.
10492,could kill you,Podría matarte.
10493,could kill you,Yo podría matarte.
10494,could kill you,Podría matarlo.
10495,could kill you,Yo podría matarlo.
10496,could kill you,Podría matarla.
10497,could kill you,Yo podría matarla.
10498,could kill you,Podría mataros.
10499,could kill you,Yo podría mataros.
10500,could kill you,Podría matarlos.
10501,could kill you,Yo podría matarlos.
10502,could kill you,Podría matarlas.
10503,could kill you,Yo podría matarlas.
10504,could kill you,Te podría matar.
10505,could kill you,Yo te podría matar.
10506,could kill you,Lo podría matar.
10507,could kill you,Yo lo podría matar.
10508,could kill you,La podría matar.
10509,could kill you,Yo la podría matar.
10510,could kill you,Os podría matar.
10511,could kill you,Yo os podría matar.
10512,could kill you,Los podría matar.
10513,could kill you,Yo los podría matar.
10514,could kill you,Las podría matar.
10515,could kill you,Yo las podría matar.
10516,sleep,No pude dormir.
10520,quickly,Lo hice a la ligera.
10521,ask you,No te he preguntado.
10522,hear it,No lo escuché.
10523,hear it,No lo he oído.
10524,like it,No me gustó.
10525,mean it,No lo hice aposta.
10526,mean it,No lo hice adrede.
10527,see tom,No vi a Tom.
10528,see her,No la vi.
10529,see him,No lo vi.
10530,see him,No le vi.
10531,see you,No te vi.
10532,see you,No te había visto.
10533,dislike coffee,Odio el café.
10534,believe you,Te creo de verdad.
10535,job well,Yo hago bien mi trabajo.
10536,remember it,Claro que lo recuerdo.
10537,eat meat,No como carne.
10538,envy her,No le envidio.
10539,envy him,No le envidio.
10540,envy him,No lo envidio.
10541,envy you,No te envidio.
10542,know her,No la conozco.
10543,know him,No le conozco.
10544,know why,No sé por qué.
10545,know why,No sé la causa.
10546,know yet,Todavía no lo sé.
10547,know you,No le conozco.
10548,know you,No te conozco.
10549,know you,No os conozco.
10550,know you,No les conozco.
10551,like tom,No me gusta Tom.
10552,like her,Ella no me simpatiza.
10553,like her,Ella no me gusta.
10554,like you,No me gustas.
10555,like you,Me caes mal.
10556,like you,Me caes gordo.
10557,love tom,No amo a Tom.
10558,love her,No la amo.
10559,mean you,No me refiero a ti.
10560,need tom,No necesito a Tom.
10561,need you,No te necesito.
10562,remember,No me acuerdo.
10563,want one,No quiero una.
10564,want tea,No quiero té.
10565,want you,No te deseo.
10566,watch tv,Yo no veo la televisión.
10567,drink relax,Yo tomo para relajarme.
10568,feel bad today,Hoy me siento mal.
10569,feel flatter,Me siento halagado.
10570,feel important,Me siento importante.
10571,feel powerless,Me siento impotente.
10572,feel refresh,Me siento refrescado.
10573,feel safe here,Me siento segura acá.
10574,feel lonely,Me siento tan sola.
10575,feel something,Siento algo.
10576,feel cold,Me siento muy helado.
10577,feel good,Me siento muy bien.
10578,feel sick,Me siento muy mal.
10579,feel pain,Comparto su dolor.
10580,feel pain,Comparto vuestro dolor.
10581,feel pain,Comparto tu dolor.
10582,feel pain,Siento tu dolor.
10583,find shoe,Encontré mis zapatos.
10584,find cap,Encontré tu gorra.
10585,give job,Renuncié a mi trabajo.
10588,get point,Entiendo lo que quieres decir.
10589,go park,Voy al parque.
10590,get doll,Le traje una muñeca.
10591,get hurt today,Hoy me lastimé.
10592,guess could,Supongo que podemos.
10593,huge dog,Yo tenía un perro enorme.
10594,hate chemistry,Detesto la química.
10595,hate hypocrisy,Odio la hipocresía.
10596,hate family,Odio a mi familia.
10597,hate surprise,Odio las sorpresas.
10598,hate idea,No me gusta esa idea.
10599,hate song,Odio esa canción.
10600,hate rule,Odio las reglas.
10601,hate game,Odio este juego.
10602,hate travel,Odio viajar.
10603,bicycle,Tengo una bicicleta.
10604,brother,Tengo un hermano.
10605,grenade,Tengo una granada.
10606,problem,Tengo un problema.
10607,scooter,Tengo un scooter.
10608,ask him,Le he preguntado.
10612,heartburn,Tengo ardor de estómago.
10613,doubt,Tengo mis dudas.
10614,choice,No tengo opción.
10615,doubt,No tengo ninguna duda.
10616,future,No tengo futuro.
10619,sore feet,Me duelen los pies.
10620,video,Tengo el vídeo.
10621,go now,Ahora tengo que irme.
10622,go now,Tengo que irme ahora.
10624,hear something,Escucho algo.
10625,hear scream,Oí un grito.
10626,hear tv,Lo he oído en la tele.
10627,hear bell,Oí la campana.
10628,hope im wrong,Espero estar equivocada.
10629,hope true,Espero que sea verdad.
10630,get job,Acabo de conseguir un trabajo.
10631,need time,Solo necesito tiempo.
10632,kick dog,Pateé al perro.
10633,know im early,Sé que llegué adelantado.
10634,know im right,Sé que tengo razón.
10635,know it,Sé que él lo ha hecho.
10636,know it,Sé que lo ha hecho él.
10637,know be,Ya lo sé.
10638,know myself,Yo mismo lo sé.
10639,know cold,Sé que hace frío.
10640,know true,Sé que es verdad.
10641,know this,Tan sólo sé esto.
10642,know girl,Conozco a esa chica.
10643,know rule,Conozco las normas.
10644,know joke,Me sé este chiste.
10645,know whats up,Yo sé lo que pasa.
10646,know be,Sé quién es.
10647,know be,Sé quien es.
10648,know name,Yo sé tu nombre.
10649,know name,Sé cuál es tu nombre.
10650,know type,Conozco a los de tu tipo.
10651,let cat,Dejé entrar al gato.
10652,let cat in,He dejado entrar al gato.
10653,let cat in,Dejo entrar al gato.
10654,let cat in,Dejé entrar al gato.
10655,like australia,Me gusta Australia.
10656,like chocolate,Me gusta el chocolate.
10657,like fresh air,Me gusta el aire fresco.
10658,like lot,Ella me gusta mucho.
10659,like ice cream,Me gusta la nieve.
10660,like ice cream,Me gusta el helado.
10661,like languages,Me gustan los idiomas.
10662,like math best,Lo que más me gusta son las matemáticas.
10663,like pop music,Me gusta la música pop.
10664,like red roses,Me gustan las rosas rojas.
10665,like surprise,Me gustan las sorpresas.
10666,like song,Me gusta esa canción.
10667,like beach,Me gusta la playa.
10668,like travel,Me gusta viajar.
10669,like travel,Me gusta viajar.
10670,like lot,Te quiero mucho.
10671,like lot,Me gustás mucho.
10672,like dog,Me gustan tus perros.
10673,like hair,Me gusta tu pelo.
10674,like hair,Me gusta vuestro pelo.
10675,like idea,Me gusta tu idea.
10676,like plan,Me gusta tu plan.
10677,like work,Me gusta tu trabajo.
10678,live boston,Vivo en Boston.
10679,live moscow,Vivo en Moscú.
10680,live tahiti,Vivo en Tahití.
10681,live turkey,Vivo en Turquía.
10682,live turkey,Yo vivo en Turquía.
10683,live near here,Yo vivo cerca de aquí.
10684,look you,Yo te respeto.
10685,look you,Yo te tengo estima.
10686,lose watch,He perdido el reloj.
10687,lose watch,Perdí mi reloj.
10688,love australia,Amo Australia.
10689,love astronomy,Me encanta la astronomía.
10690,love ice cream,Me encanta el helado.
10691,love ice cream,Me gusta el helado.
10692,love game,Adoro este juego.
10693,love song,Adoro esta canción.
10694,love song,Me encanta esta canción.
10695,love town,Me gusta esta ciudad.
10696,love travel,Me gusta viajar.
10697,love name,Me encanta tu nombre.
10698,make fortune,Hice una fortuna.
10699,make mistake,Cometí un error.
10700,make breakfast,Hice el desayuno.
10701,make angry,La hice enfadar.
10702,make happy,La hice feliz.
10703,make so,Yo lo hice hacerlo.
10704,make myself,Lo hice yo mismo.
10705,make myself,Lo he hecho yo.
10706,make rule,Yo hago las normas.
10707,may old,Puede que sea demasiado viejo.
10708,might wrong,Yo puedo estar equivocado.
10709,miss badly,Te echo mucho de menos.
10710,miss bus,Perdí el bus.
10711,miss bus,Perdí el colectivo.
10712,must apologize,Tengo que pedir disculpas.
10713,must now,Tengo que hacerlo ahora.
10714,must leave now,Me tengo que ir ahora.
10715,must leave now,Ahora tengo que irme.
10716,must leave now,Tengo que irme ahora.
10717,must thank him,Tengo que agradecérselo.
10718,must wait here,Debo esperar aquí.
10719,need massage,Necesito un masaje.
10720,need miracle,Necesito un milagro.
10721,need new car,Necesito un auto nuevo.
10722,need new car,Necesito un coche nuevo.
10723,need new one,Necesito uno nuevo.
10724,need new one,Necesito una nueva.
10725,need answer,Necesito una respuesta.
10726,need first aid,Yo necesito primeros auxilios.
10727,need help here,Aquí necesito ayuda.
10728,need help,Necesito más ayuda.
10729,need room,Necesito más espacio.
10730,need milk,Necesito leche.
10731,need soap,Necesito un poco de jabón.
10732,need see it,Necesito verlo.
10733,need help,Necesito tu ayuda.
10734,need help,Necesito que me ayudes.
10735,never know tom,Nunca conocí a Tom.
10736,often eat here,Como aquí con frecuencia.
10737,need half,Necesito sólo la mitad.
10738,outsmart you,Fui más listo que tú.
10739,outsmart you,Era más listo que tú.
10740,owe debt,Tengo una deuda con él.
10741,computer,Tengo una computadora.
10742,play band,Yo toco en una banda.
10743,play cello,Toco el violoncelo.
10744,play flute,Toco la flauta.
10745,point him,Yo le apunté.
10746,prefer read,Prefiero leer.
10747,prefer read,Prefiero leer.
10748,prefer walk,Prefiero caminar.
10749,run mile,Yo corrí una milla.
10750,read label,Leí la etiqueta.
10751,read label,Leo la etiqueta.
10752,really mean it,En verdad hablo en serio.
10753,recommend maui,Recomiendo la isla Maui.
10754,refuse pay,Yo rehusé pagar.
10755,regret nothing,No me arrepiento de nada.
10756,require advice,Necesito que me aconsejen.
10757,run place,Yo dirijo este lugar.
10758,sit beside her,Yo me senté al lado de ella.
10759,saw everything,Lo vi todo.
10760,saw go out,Le vi salir.
10761,saw cry,Te vi llorar.
10762,see house,Yo veo tu casa.
10763,see point,Comprendo tu punto.
10764,sell umbrellas,Vendo paraguas.
10765,go home,Debería irme a casa.
10766,sue tom,Debería demandar a Tom.
10767,stifle grin,Contuve una sonrisa burlona.
10768,still hate you,Aún te odio.
10769,still hate you,Aún te detesto.
10770,still hate you,Todavía te odio.
10771,still love tom,Todavía amo a Tom.
10772,still love you,Aún te amo.
10773,still love you,Todavía te quiero.
10774,swim every day,Nado todos los días.
10775,talk myself,Yo hablo conmigo mismo.
10776,think work,Creo que funciona.
10777,think tom,Creo que es Tom.
10778,tell tom go,Le dije a Tom que se fuera.
10779,tell tom go,Le dije a Tom que se vaya.
10780,tell truth,Dije la verdad.
10781,totally forget,Me olvidé totalmente.
10782,truly doubt it,De verdad lo dudo.
10783,understand tom,Entiendo a Tom.
10784,understand now,Ahora lo entiendo.
10785,understand why,Entiendo por qué.
10786,understand why,Comprendo por qué.
10787,understand why,Entiendo el porqué.
10788,understand why,Comprendo el porqué.
10789,understand you,Te entiendo.
10790,use fat,Solía ser gordo.
10791,visit boston,Visité Boston.
10792,wait you,Te estuve esperando.
10793,wait you,Te esperé.
10794,walk every day,Yo camino todos los días.
10795,want tom fire,Quiero que despidan a Tom.
10796,want divorce,Quiero divorciarme.
10797,want divorce,Quiero el divorcio.
10798,want hot dog,Quiero un pancho.
10799,want martini,Quiero un martini.
10800,want lawyer,Quiero a mi abogado.
10801,want food,Quiero un poco de comida.
10802,want milk,Quiero un poco de leche.
10803,want more,Quiero un poco más.
10804,want book,Quiero ese libro.
10805,want eat it,Me lo quiero comer.
10806,want eat it,Quiero comérmelo.
10807,want see it,Quiero verlo.
10808,want try it,Quiero probarlo.
10809,want go,Quiero que tú vayas.
10810,want love,Quiero tu amor.
10812,rich man,Yo era un hombre rico.
10813,astonish,Me quedé asombrado.
10814,bear there,Yo nací allí.
10815,dumbstruck,Me quedé pasmado.
10816,dumbstruck,Me quedé de piedra.
10817,happy then,Yo era feliz entonces.
10818,first,Yo estaba aquí primero.
10819,first,Yo estaba aquí antes.
10820,speechless,Me quedé sin palabras.
10822,drink,Estaba muy borracho.
10823,happy,Estaba muy feliz.
10824,careful,No fui preocupado.
10826,unhappy,Yo no era infeliz.
10827,unlucky,Yo no era desafortunado.
10828,go boston,Fui a Boston.
10829,go school,Fui al colegio.
10830,go school,Fui a la escuela.
10831,shoot him,Le voy a disparar.
10832,try again,Lo intentaré de nuevo.
10833,wish luck,Les deseo suerte.
10834,quiet,No estaré callado.
10835,quiet,No voy a estar tranquilo.
10836,stop you,No te detendré.
10837,stop you,No te voy a detener.
10838,tell you,No te lo diré.
10839,tell you,No os lo diré.
10840,work boston,Trabajo en Boston.
10841,work bank,Yo trabajo en un banco.
10842,would complain,Yo me quejaría.
10843,would complain,Yo pondría una queja.
10844,id like help,Me gustaría ayudar.
10845,ill back up,Yo te apoyaré.
10846,ill discreet,Seré discreto.
10847,ill discreet,Voy a ser discreto.
10848,ill punish,Me castigarán.
10849,ill tom,Estaré con Tom.
10850,ill beat up,¡Voy a batirte!
10851,ill beat up,¡Te voy a agarrar a madrazos!
10852,ill beat up,Te daré una paliza.
10853,ill bring lunch,Yo voy a traer almuerzo.
10854,ill bring lunch,Yo traeré el almuerzo.
10855,ill check again,Comprobaré de nuevo.
10856,ill later,Luego lo haré.
10857,ill get key,Cogeré mis llaves.
10858,ill dinner,Voy a cenar.
10859,ill keep try,Voy a seguir intentando.
10860,ill pay you,Pagaré por tí.
10861,ill pick tom up,Recogeré a Tom.
10862,ill protect tom,Protegeré a Tom.
10863,ill say more,No diré nada más.
10864,ill sleep it,Lo consultaré con la almohada.
10865,ill study lot,Voy a estudiar mucho.
10866,ill support him,Yo le apoyaré.
10867,ill try best,Lo haré lo mejor que pueda.
10868,ill try best,Haré mi mejor intento.
10869,ill try luck,Probaré mi suerte.
10870,ill wash dish,Voy a lavar los platos.
10871,im years old,Tengo dieciocho años.
10872,im toms cousin,Soy la prima de Tom.
10873,im toms cousin,Soy el primo de Tom.
10874,im toms doctor,Soy el médico de Tom.
10875,im toms father,Soy el padre de Tom.
10876,im toms friend,Soy la amiga de Tom.
10877,im toms mother,Soy la madre de Tom.
10878,im toms sister,Soy la hermana de Tom.
10879,im us citizen,Soy un ciudadano de los Estados Unidos.
10880,im us citizen,Soy una ciudadana de los Estados Unidos.
10881,im bite hungry,Tengo un poco de hambre.
10882,im little shy,Soy un poco tímido.
10883,im lonely man,Soy un hombre solitario.
10884,im normal guy,Soy un tipo normal.
10885,im translator,Soy traductor.
10886,im able swim,Sé nadar.
10887,im wear out,Estoy extenuado.
10888,im almost break,Estoy casi quebrado.
10889,im almost break,Ando casi en la chilla.
10890,im almost break,Ando casi hule.
10891,im almost ready,Estoy casi lista.
10892,im already busy,Ya estoy hasta las manos.
10893,im already busy,Ya estoy ocupado.
10894,im already do,Ya estoy listo.
10895,im already do,Ya he terminado.
10896,im already late,Ya voy tarde.
10897,im already late,Ya estoy atrasado.
10898,im already rich,Yo ya soy rico.
10899,im already sick,Ya estoy enfermo.
10900,im already sick,Ya estoy enferma.
10901,im always happy,Siempre estoy feliz.
10902,im always moody,Estoy siempre de mal humor.
10903,im always tire,Siempre estoy cansada.
10904,im always tire,Siempre estoy cansado.
10905,im adult now,Ahora soy adulto.
10906,im old woman,Soy una anciana.
10907,im angry you,Estoy enojado contigo.
10908,im angry you,Estoy enojada contigo.
10909,im beach,Estoy en la playa.
10910,im hotel,Estoy en el hotel.
10911,im busy tonight,Esta noche estoy ocupado.
10912,im side,Estoy de tu lado.
10913,im check out,Estoy registrando mi salida.
10914,im cold wet,Estoy frío y mojado.
10915,im confuse now,Ahora estoy confundido.
10916,im disappoint,Estoy decepcionado.
10917,im eat lunch,Estoy almorzando.
10918,im feel sick,Me siento enfermo.
10919,im feel sick,Me siento enferma.
10920,im freak out,Estoy enloqueciendo.
10921,im free tonight,Estoy disponible esta noche.
10922,im america,Soy de los Estados Unidos.
10923,im romania,Soy de Rumania.
10924,im go bed,¡Me voy a la cama!
10925,im go bed,¡Me voy a dormir!
10926,im go cry,Voy a llorar.
10927,im go pay,Voy a pagar.
10928,im good math,Se me dan bien las matemáticas.
10929,im help,Estoy dispuesto para ayudar.
10930,im help,Estoy aquí para colaborar.
10931,im homeschooled,Estudio en casa.
10932,im homeschooled,Me educan en casa.
10933,im homeschooled,Me enseñan en casa.
10934,im housesitting,Estoy de guardés.
10935,im housesitting,Soy guardés.
10936,im housesitting,Cuido la casa.
10937,im house,Estoy en la casa.
10938,im debt,Estoy en deuda contigo.
10939,im invite you,Te estoy invitando.
10940,im curious,Tan solo soy curioso.
10941,im curious,Solo tengo curiosidad.
10942,im kid,Es sólo una broma.
10943,im kind busy,Estoy un poco ocupado.
10944,im middle class,Soy de clase media.
10945,im nervous too,Yo también estoy nervioso.
10946,im canadian,No soy canadiense.
10947,im catholic,No soy católica.
10948,im beggar,No soy un mendigo.
10949,im doctor,No soy médico.
10950,im doctor,No soy doctor.
10951,im lawyer,No soy abogado.
10952,im snitch,No soy un delator.
10953,im bluff,No estoy embaucando.
10954,im busy now,Ahora no estoy ocupado.
10955,im busy now,No estoy ocupada ahora.
10956,im do yet,Todavía no terminé.
10957,im type,No soy su tipo.
10958,im laugh,No me estoy riendo.
10959,im like you,Yo no soy como vos.
10960,im drug,No tomo drogas.
10961,im drug,No me drogo.
10962,im sleep,No estoy durmiendo.
10963,im suicidal,Yo no soy un suicida.
10964,im suicidal,No soy un suicida.
10965,im sure why,No estoy seguro de por qué.
10966,im son,No soy tu hijo.
10967,im side,Estoy de su lado.
10968,im side,Estoy de tu lado.
10969,im side,Soy tu aliado.
10970,im pretty tire,Estoy bastante cansado.
10971,im proud you,Estoy orgulloso de ti.
10972,im proud you,Estoy orgullosa de ti.
10973,im proud you,Estoy orgulloso de vosotros.
10974,im proud you,Estoy orgulloso de vosotras.
10975,im proud you,Estoy orgulloso de usted.
10976,im proud you,Estoy orgulloso de ustedes.
10977,im really angry,Estoy realmente enojado.
10978,im really sorry,Realmente lo siento.
10979,im run late,Se me hizo tarde.
10980,im run late,Voy tarde.
10981,im run late,Voy con retraso.
10982,im sick fish,Estoy hastiada de pescado.
10983,im single again,Estoy solo otra vez.
10984,im stay here,Me quedo aquí.
10985,im still hungry,Todavía tengo hambre.
10986,im still single,Todavía soy soltero.
10987,im still single,Todavía estoy soltero.
10988,im still single,Todavía estoy soltera.
10989,im still single,Sigo soltero.
10990,im sure this,Estoy bastante seguro.
10991,im gardener,Soy el jardinero.
10992,im totally lose,Estoy totalmente perdida.
10993,im excite,Estoy muy emocionada.
10994,im nervous,Estoy muy nerviosa.
10995,im relax,Estoy muy relajada.
10996,im thirsty,Tengo mucha sed.
10997,im waste time,Estoy perdiendo tiempo.
10998,im watch you,Te estoy viendo.
10999,im brother,Soy tu hermano.
11000,ive rob,He sido robado.
11001,ive save,He estado ahorrando.
11002,ive draw map,He dibujado un mapa.
11003,ive felt better,Me he sentido mejor.
11004,ive find job,Encontré trabajo.
11005,ive get cookies,Tengo galletas.
11006,ive hurt myself,Me lastimé.
11007,ive say enough,He dicho suficiente.
11008,now when,"Si no es ahora, ¿cuándo?"
11009,ironic it,"Irónico, ¿verdad?"
11011,tom suspect,¿Tom es un sospechoso?
11012,tom right,¿Tom está bien?
11013,tom awake yet,¿Está Tom despierto todavía?
11014,tom conscious,¿Está Tom consciente?
11015,tom dangerous,¿Tom es peligroso?
11016,tom coma,¿Está Tom en coma?
11017,tom mad us,¿Está Tom enojado con nosotros?
11018,tom reachable,¿Puedes contactar con Tom?
11019,tom reachable,¿Tom está disponible?
11020,tom mary,¿Está Tom con Mary?
11021,everything ok,¿Todo está bien?
11022,everything ok,¿Está todo bien?
11023,contagious,¿Es contagioso?
11024,really bad,¿Es muy grave?
11025,really you,¿De verdad eres tú?
11026,really you,¿Eres tú de verdad?
11027,satisfy,¿Está satisfecha?
11028,satisfy,¿Ella está satisfecha?
11030,possible,¿Es posible?
11031,suitable,¿Eso es adecuado?
11032,apple red,¿La manzana es roja?
11033,bank open,¿Está abierto el banco?
11034,lake deep,¿El lago es profundo?
11035,milk good,¿Está buena la leche?
11036,work hard,¿El trabajo es duro?
11037,flower,¿Esto es una flor?
11038,letter,¿Es esta una carta?
11039,puzzle,¿Es esto un puzzle?
11040,suitable,¿Esto es adecuado?
11046,car fast,¿Tu coche es rápido?
11047,dog mean,¿Es tu perro cruel?
11048,name tom,¿Te llamas Tom?
11049,right,¿A que sí?
11050,weird,¿No es eso raro?
11051,begin rain,Empezó a llover.
11052,begin rain,Comenzó a llover.
11053,begin snow,Empezó a nevar.
11054,cant true,No puede ser cierto.
11055,cant true,No puede ser verdad.
11056,cant true,Eso no puede ser verdad.
11057,cost euros,Cuesta 2 euros.
11058,creep out,Me da una enchinada.
11059,exist,No existe.
11060,freak out,Me asusta.
11061,hurt much,Duele tanto...
11062,cold today,Hace frío hoy.
11063,short,Es muy corto.
11065,dream,Esto no es un sueño.
11066,come out,Acaba de salir.
11067,look painful,Parece doloroso.
11068,look strange,Se ve extraño.
11069,make smile,Me hizo sonreír.
11070,may trap,Podría ser una trampa.
11071,may rain soon,Puede que llueva pronto.
11072,seem likely,Parecía probable.
11073,seem strange,Parece extraño.
11075,hot day,Fue un día caluroso.
11076,tragedy,Fue una tragedia.
11077,wrong,Todo estaba mal.
11078,ambush,Era una emboscada.
11079,school,Fue en la escuela.
11080,dark blue,Era azul oscuro.
11081,delicious,Estaba delicioso.
11082,drizzle,Lloviznaba.
11083,excessive,Fue excesivo.
11084,fantastic,Fue fantástico.
11085,fantastic,Estaba fantástico.
11086,half full,Estaba medio lleno.
11087,fault,Fue culpa suya.
11088,last year,Fue el año pasado.
11089,like that,Era así.
11090,like that,Era tal cual.
11091,simple,Era tan simple.
11092,solid red,Era de un rojo sólido.
11093,small,Era demasiado pequeño.
11096,wonderful,Fue maravilloso.
11097,wonderful,Era maravilloso.
11098,yesterday,Fue ayer.
11100,scary,Será aterrador.
11102,itll snow today,Va a nevar hoy.
11103,itll take hours,Llevará horas.
11104,greek me,Me suena a chino.
11105,toms fault,Eso es culpa de Tom.
11106,toms group,Es el grupo de Tom.
11107,toms house,Esta es la casa de Tom.
11108,good deal,Es un buen trato.
11109,good idea,Es una buena idea.
11110,great gag,Es un gran chiste.
11111,rainy day,Es un día lluvioso.
11112,sunny day,Es un día soleado.
11113,almost,Van a ser las dos y media.
11114,almost noon,Es casi mediodía.
11115,almost over,Está casi acabado.
11116,almost time,Ya casi es hora.
11117,complicate,Es complicado.
11118,deer season,Es temporada de venados.
11119,easily do,Es fácil de hacer.
11120,get dark,Ha oscurecido.
11121,hot here,Hace calor aquí.
11122,interest,Es interesante.
11123,like drug,Es como una droga.
11124,monkey meat,Es carne de mono.
11125,umbrella,Es mi paraguas.
11126,nearly,Son casi las dos y media.
11127,nearly dawn,El amanecer está cerca.
11128,ninethirty,Son las nueve y media.
11129,big deal,No es muy importante.
11130,trick,No es un truco.
11131,watch,No es un reloj.
11132,logical,No es lógico.
11133,natural,No es natural.
11135,leave,Está a la izquierda.
